src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
49.142.91.110,172.31.41.155,10483,5000,6,2022-12-11 10:30:32,25235.414505004883,26351.85563796117,277.3879540838018,158.50740233360102,118.88055175020077,4,3,459,206,233.0,66.0,114.75,68.64173293267005,74.0,66.0,68.66666666666667,3.7712361663282534,233,66,95.0,56.73245480826146,3218.5714285714284,80,60,20,2,4205.9024175008135,12710.5712890625,0.2384185791015625,5927.818019588087,25227.54669189453,12733.936309814453,0.2384185791015625,8409.18223063151,5946.8322002485875,25208.473205566406,12718.439102172852,12490.034103393555,12604.236602783203,114.20249938964844,0,0,0,0,1,0,0,0,0,0,0,0.75,95.0,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,68.66666666666667,0,4,3,459,206
49.142.91.110,172.31.41.155,10485,5000,6,2022-12-11 10:30:32,25929.689407348633,25954.80375516059,269.9608117178664,154.26332098163797,115.69749073622847,4,3,467,206,241.0,66.0,116.75,72.08805379534115,74.0,66.0,68.66666666666667,3.7712361663282534,241,66,96.14285714285714,59.51333241126628,3541.836734693878,80,60,20,2,4321.614901224772,13388.395309448242,0.0,6092.832644524988,25918.960571289062,13410.329818725586,0.0,8639.653523763021,6120.238288361137,25892.73452758789,13399.124145507812,12493.610382080078,12946.367263793945,452.7568817138672,0,0,0,0,1,0,0,0,0,0,0,0.75,96.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.75,68.66666666666667,0,4,3,467,206
172.31.41.155,77.73.133.3,22,35072,6,2022-12-11 10:30:32,0.0,0,0,0,0,1,0,74,0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,74,74,74.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,74.0,65160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,1,0,74,0
49.142.91.110,172.31.41.155,10570,5000,6,2022-12-11 10:30:33,22974.491119384766,28945.14601191341,304.6857474938254,174.10614142504306,130.5796060687823,4,3,459,206,232.0,66.0,114.75,68.10791070059337,74.0,66.0,68.66666666666667,3.7712361663282534,232,66,95.0,56.36361541683733,3176.8571428571427,80,60,20,2,3829.0818532307944,11668.920516967773,0.0,5388.685359562254,22967.33856201172,11708.736419677734,0.0,7655.779520670573,5416.5718105796495,22934.675216674805,11701.107025146484,11233.56819152832,11467.337608337402,233.76941680908203,0,0,0,0,1,0,0,0,0,0,0,0.75,95.0,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,68.66666666666667,0,4,3,459,206
49.142.91.110,172.31.41.155,10572,5000,6,2022-12-11 10:30:33,2166195.1541900635,348.53738756621544,3.6931113914300977,2.308194619643811,1.3849167717862865,5,3,549,206,233.0,66.0,109.8,62.17845285949145,74.0,66.0,68.66666666666667,3.7712361663282534,233,66,94.375,53.08704526529989,2818.234375,100,60,20,3,309456.4505985805,2145690.2027130127,0.0,749652.5533178995,2166195.1541900635,2145701.1699676514,0.0,541548.7885475159,926167.2692969518,20488.262176513672,10468.244552612305,10020.017623901367,10244.131088256836,224.11346435546875,0,0,0,0,1,0,0,0,0,0,0,0.6,94.375,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.8,68.66666666666667,0,5,3,549,206
49.142.91.110,172.31.41.155,10574,5000,6,2022-12-11 10:30:33,22929.19158935547,28609.81807594726,305.2876928835836,174.4501102191906,130.83758266439295,4,3,450,206,223.0,66.0,112.5,64.23589339302443,74.0,66.0,68.66666666666667,3.7712361663282534,223,66,93.71428571428571,53.23992670842407,2834.489795918367,80,60,20,2,3821.5319315592446,11497.974395751953,6.67572021484375,5295.678563293845,22922.515869140625,11505.603790283203,288.24806213378906,7640.838623046875,5201.343535763553,22918.224334716797,11504.650115966797,11413.57421875,11459.112167358398,45.53794860839844,0,0,0,0,1,0,0,0,0,0,0,0.75,93.71428571428571,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,68.66666666666667,0,4,3,450,206
49.142.91.110,172.31.41.155,10578,5000,6,2022-12-11 10:30:33,23245.811462402344,28564.285702564102,301.12951794871793,172.07401025641025,129.05550769230769,4,3,458,206,232.0,66.0,114.5,68.21106948289258,74.0,66.0,68.66666666666667,3.7712361663282534,232,66,94.85714285714286,56.38497411653613,3179.265306122449,80,60,20,2,3874.3019104003906,11550.664901733398,7.152557373046875,5386.6577738062315,23238.658905029297,11561.63215637207,236.74964904785156,7746.219635009766,5310.228266593794,23234.844207763672,11795.997619628906,11438.846588134766,11617.422103881836,178.5755157470703,0,0,0,0,1,0,0,0,0,0,0,0.75,94.85714285714286,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5,68.66666666666667,0,4,3,458,206
49.142.91.110,172.31.41.155,10580,5000,6,2022-12-11 10:30:33,20926.952362060547,31824.987627315604,334.4968669537676,191.14106683072436,143.35580012304328,4,3,460,206,234.0,66.0,115.0,69.0724257573165,74.0,66.0,68.66666666666667,3.7712361663282534,234,66,95.14285714285714,57.079965390490486,3258.122448979592,80,60,20,2,3487.825393676758,10505.199432373047,0.0,4911.051885869326,20900.01106262207,10528.564453125,0.0,6966.6703542073565,4926.597431110733,20915.985107421875,10532.140731811523,10383.844375610352,10457.992553710938,74.14817810058594,0,0,0,0,1,0,0,0,0,0,0,0.75,95.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,68.66666666666667,0,4,3,460,206
49.142.91.110,172.31.41.155,10582,5000,6,2022-12-11 10:30:33,24930.00030517578,26113.116407176465,280.7861979266287,160.44925595807354,120.33694196855514,4,3,445,206,218.0,66.0,111.25,62.086129690938215,74.0,66.0,68.66666666666667,3.7712361663282534,218,66,93.0,51.50589425354289,2652.8571428571427,80,60,20,2,4155.00005086263,12450.218200683594,5.245208740234375,5847.610412132034,24922.609329223633,12461.423873901367,56.743621826171875,8307.536443074545,5834.2379321041835,24918.794631958008,12512.20703125,12406.587600708008,12459.397315979004,52.809715270996094,0,0,0,0,1,0,0,0,0,0,0,0.75,93.0,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.25,68.66666666666667,0,4,3,445,206
49.142.91.110,172.31.41.155,10584,5000,6,2022-12-11 10:30:33,23037.91046142578,28908.87179699466,303.84700086931326,173.62685763960758,130.22014322970568,4,3,460,206,234.0,66.0,115.0,69.0724257573165,74.0,66.0,68.66666666666667,3.7712361663282534,234,66,95.14285714285714,57.079965390490486,3258.122448979592,80,60,20,2,3839.6517435709634,11623.620986938477,0.0,5411.660229019427,23030.519485473633,11646.032333374023,0.0,7676.839828491211,5429.39553324884,23014.068603515625,11631.011962890625,11383.056640625,11507.034301757812,123.9776611328125,0,0,0,0,1,0,0,0,0,0,0,0.75,95.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,68.66666666666667,0,4,3,460,206
